,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
cloudcover_roll_mean_14,0.18389048213561915,0.12940579165611155,0.00457610524416069,0.0019581348447420227,48.75
cloudcover_roll_mean_21,0.17281649919219214,0.10899929746751269,0.0004986714493923211,0.0025170273892884064,50.0
dew_lag3,0.7156482534976064,0.45118833036818673,0.0,0.0011106078804138497,50.875
precip_roll_mean_28,0.5286037160421351,0.37785513065530374,0.0,0.001382277573931807,51.375
dew_lag7,0.6981479208982497,0.4121192471848376,0.0,0.001216847166650793,51.625
sealevelpressure_roll_std_21,0.4847454602744613,0.2099407554878132,0.0,0.00177739156439505,51.875
precip_roll_mean_21,0.49504248022915215,0.3531318638881835,0.0,0.0014451368649361644,52.625
sealevelpressure_roll_std_28,0.4629134243714825,0.22718852575686999,0.0,0.0017305552394116979,52.875
winddir_cos,0.34986950751200285,0.08482073791588896,0.0,0.0295203896486516,53.625
precip_roll_mean_14,0.4397256047377112,0.30043658154603836,0.0,0.0015466475326995407,53.875
humidity_roll_std_28,0.4425501739220501,0.196651811018282,0.0,0.0017887426491948817,54.625
precip_roll_std_28,0.4791558692785168,0.3824754677384017,0.0,0.0012953570098256219,54.625
month_cos,0.739825376916618,0.4346808413006351,0.0,0.00012054749108631758,55.375
visibility,0.36811845577736185,0.15669469087474397,0.0,0.001992568793365446,55.625
humidity_roll_mean_84,0.38458323334639194,0.2560077551699278,0.0,0.0016632598489232844,55.625
precip_roll_std_84,0.44258629322314613,0.3646868298114385,0.0,0.0012449042120471917,57.375
precip_roll_std_21,0.45068612494693105,0.35053840381491064,0.0,0.0012690558185143614,57.375
sealevelpressure_roll_std_7,0.3457382603159727,0.11709400011399129,0.0,0.0021638965853823084,57.875
humidity_roll_std_14,0.35779926394263295,0.13232554149179432,0.0,0.0018951184667952569,58.375
precip_roll_std_7,0.3292789120356956,0.22011158270803977,0.0,0.0016950106530535143,58.625
precip_roll_std_14,0.4078899377698044,0.3378955856079351,0.0,0.0013508006466448515,58.625
windspeed_roll_std_28,0.17487462800142783,0.15336922754188098,0.0,0.002663073810717271,59.125
cloudcover,0.20342590549081496,0.09323515904267587,0.0,0.00680228572861591,59.375
windspeed_roll_mean_28,0.372742042150751,0.15331083166101234,0.0,0.0017930791332835987,59.375
sealevelpressure_roll_std_84,0.17897477405031428,0.20126786170380928,0.0,0.0019529800028338792,60.125
windspeed_roll_mean_56,0.5335053320978101,0.27894961939050944,0.0,0.0010226478972848005,61.375
pressure_humidity,0.06084495327778012,0.07003704399523425,2.3655129434843983e-05,0.0022562575887384475,61.5
humidity_roll_mean_56,0.31029754281566085,0.1928529079539798,0.0,0.0017270188944057052,61.625
