datetime,target_temp_t+2
2015-03-26,23.2
2015-03-27,24.6
2015-03-28,25.8
2015-03-29,26.5
2015-03-30,26.7
2015-03-31,27.8
2015-04-01,28.0
2015-04-02,27.9
2015-04-03,27.6
2015-04-04,25.8
2015-04-05,25.0
2015-04-06,19.5
2015-04-07,18.0
2015-04-08,17.4
2015-04-09,20.1
2015-04-10,23.3
2015-04-11,23.8
2015-04-12,23.4
2015-04-13,24.0
2015-04-14,23.9
2015-04-15,25.4
2015-04-16,27.4
2015-04-17,28.6
2015-04-18,29.6
2015-04-19,26.5
2015-04-20,22.3
2015-04-21,21.8
2015-04-22,23.5
2015-04-23,24.5
2015-04-24,25.5
2015-04-25,26.7
2015-04-26,27.2
2015-04-27,28.2
2015-04-28,28.5
2015-04-29,29.3
2015-04-30,30.0
2015-05-01,29.8
2015-05-02,30.3
2015-05-03,29.3
2015-05-04,30.4
2015-05-05,30.0
2015-05-06,30.8
2015-05-07,27.3
2015-05-08,28.7
2015-05-09,29.9
2015-05-10,27.0
2015-05-11,28.8
2015-05-12,30.2
2015-05-13,30.8
2015-05-14,27.3
2015-05-15,28.5
2015-05-16,30.8
2015-05-17,31.0
2015-05-18,30.8
2015-05-19,28.0
2015-05-20,30.4
2015-05-21,29.9
2015-05-22,27.4
2015-05-23,30.5
2015-05-24,32.2
2015-05-25,32.7
2015-05-26,33.2
2015-05-27,33.7
2015-05-28,33.5
2015-05-29,30.1
2015-05-30,30.5
2015-05-31,29.9
2015-06-01,30.4
2015-06-02,31.1
2015-06-03,28.0
2015-06-04,27.8
2015-06-05,27.4
2015-06-06,28.9
2015-06-07,30.3
2015-06-08,30.4
2015-06-09,28.9
2015-06-10,28.3
2015-06-11,30.0
2015-06-12,29.6
2015-06-13,28.8
2015-06-14,30.8
2015-06-15,31.2
2015-06-16,31.4
2015-06-17,31.3
2015-06-18,29.1
2015-06-19,30.9
2015-06-20,30.0
2015-06-21,30.8
2015-06-22,27.8
2015-06-23,29.3
2015-06-24,32.0
2015-06-25,32.9
2015-06-26,33.0
2015-06-27,33.9
2015-06-28,34.4
2015-06-29,34.7
2015-06-30,34.5
2015-07-01,34.6
2015-07-02,31.4
2015-07-03,27.4
2015-07-04,28.7
2015-07-05,29.9
2015-07-06,29.9
2015-07-07,30.7
2015-07-08,30.4
2015-07-09,28.0
2015-07-10,31.1
2015-07-11,32.0
2015-07-12,32.1
2015-07-13,31.3
2015-07-14,29.2
2015-07-15,29.9
2015-07-16,29.6
2015-07-17,29.6
2015-07-18,28.9
2015-07-19,28.6
2015-07-20,30.9
2015-07-21,30.4
2015-07-22,28.3
2015-07-23,27.8
2015-07-24,27.7
2015-07-25,28.4
2015-07-26,27.9
2015-07-27,26.1
2015-07-28,26.8
2015-07-29,26.6
2015-07-30,25.0
2015-07-31,24.8
2015-08-01,25.4
2015-08-02,25.5
2015-08-03,26.9
2015-08-04,27.8
2015-08-05,29.2
2015-08-06,30.6
2015-08-07,30.5
2015-08-08,31.2
2015-08-09,30.5
2015-08-10,30.5
2015-08-11,29.2
2015-08-12,30.9
2015-08-13,31.9
2015-08-14,32.3
2015-08-15,32.7
2015-08-16,32.2
2015-08-17,30.5
2015-08-18,28.6
2015-08-19,31.0
2015-08-20,31.4
2015-08-21,31.8
2015-08-22,31.7
2015-08-23,31.6
2015-08-24,29.5
2015-08-25,29.7
2015-08-26,29.6
2015-08-27,27.9
2015-08-28,27.4
2015-08-29,28.5
2015-08-30,28.7
2015-08-31,28.6
2015-09-01,26.5
2015-09-02,27.4
2015-09-03,30.1
2015-09-04,31.2
2015-09-05,30.1
2015-09-06,26.5
2015-09-07,26.9
2015-09-08,27.7
2015-09-09,29.2
2015-09-10,28.4
2015-09-11,25.4
2015-09-12,27.1
2015-09-13,25.4
2015-09-14,27.1
2015-09-15,27.4
2015-09-16,25.8
2015-09-17,28.7
2015-09-18,29.3
2015-09-19,26.8
2015-09-20,25.9
2015-09-21,28.0
2015-09-22,29.9
2015-09-23,30.5
2015-09-24,28.6
2015-09-25,29.6
2015-09-26,30.3
2015-09-27,30.8
2015-09-28,29.9
2015-09-29,29.6
2015-09-30,27.6
2015-10-01,28.6
2015-10-02,28.9
2015-10-03,27.4
2015-10-04,27.4
2015-10-05,29.0
2015-10-06,26.8
2015-10-07,24.4
2015-10-08,20.2
2015-10-09,23.0
2015-10-10,22.6
2015-10-11,23.7
2015-10-12,23.9
2015-10-13,26.4
2015-10-14,27.0
2015-10-15,27.2
2015-10-16,27.2
2015-10-17,26.9
2015-10-18,27.3
2015-10-19,27.4
2015-10-20,27.5
2015-10-21,26.9
2015-10-22,26.7
2015-10-23,26.8
2015-10-24,27.3
2015-10-25,27.8
2015-10-26,28.3
2015-10-27,28.3
2015-10-28,27.9
2015-10-29,25.4
2015-10-30,20.8
2015-10-31,22.7
2015-11-01,23.7
2015-11-02,24.7
2015-11-03,25.5
2015-11-04,26.8
2015-11-05,25.8
2015-11-06,25.7
2015-11-07,25.8
2015-11-08,25.8
2015-11-09,26.3
2015-11-10,27.2
2015-11-11,21.9
2015-11-12,21.9
2015-11-13,25.9
2015-11-14,28.3
2015-11-15,29.0
2015-11-16,28.1
2015-11-17,27.5
2015-11-18,25.4
2015-11-19,24.2
2015-11-20,25.4
2015-11-21,25.6
2015-11-22,24.8
2015-11-23,21.9
2015-11-24,17.0
2015-11-25,19.5
2015-11-26,19.9
2015-11-27,20.8
2015-11-28,21.2
2015-11-29,24.4
2015-11-30,25.7
2015-12-01,20.6
2015-12-02,16.7
2015-12-03,16.4
2015-12-04,17.3
2015-12-05,16.7
2015-12-06,16.8
2015-12-07,18.1
2015-12-08,18.9
2015-12-09,18.9
2015-12-10,20.1
2015-12-11,23.2
2015-12-12,20.7
2015-12-13,17.4
2015-12-14,15.1
2015-12-15,14.9
2015-12-16,14.8
2015-12-17,16.1
2015-12-18,17.6
2015-12-19,19.4
2015-12-20,20.6
2015-12-21,21.4
2015-12-22,22.9
2015-12-23,17.9
2015-12-24,14.1
2015-12-25,16.6
2015-12-26,17.8
2015-12-27,15.5
2015-12-28,15.5
2015-12-29,16.7
2015-12-30,17.4
2015-12-31,19.2
2016-01-01,20.6
2016-01-02,21.1
2016-01-03,21.8
2016-01-04,22.4
2016-01-05,21.7
2016-01-06,21.2
2016-01-07,21.5
2016-01-08,24.3
2016-01-09,21.5
2016-01-10,17.8
2016-01-11,17.2
2016-01-12,16.3
2016-01-13,16.0
2016-01-14,15.8
2016-01-15,19.4
2016-01-16,18.1
2016-01-17,17.2
2016-01-18,17.6
2016-01-19,18.3
2016-01-20,15.6
2016-01-21,11.1
2016-01-22,7.0
2016-01-23,9.2
2016-01-24,7.2
2016-01-25,9.7
2016-01-26,12.6
2016-01-27,15.8
2016-01-28,15.3
2016-01-29,15.6
2016-01-30,14.6
2016-01-31,13.4
2016-02-01,13.3
2016-02-02,12.7
2016-02-03,14.4
2016-02-04,16.3
2016-02-05,14.8
2016-02-06,15.0
2016-02-07,15.5
2016-02-08,17.4
2016-02-09,20.3
2016-02-10,22.2
2016-02-11,23.8
2016-02-12,23.4
2016-02-13,15.5
2016-02-14,14.0
2016-02-15,15.3
2016-02-16,16.4
2016-02-17,16.7
2016-02-18,18.3
2016-02-19,18.3
2016-02-20,18.0
2016-02-21,16.2
2016-02-22,14.2
2016-02-23,13.9
2016-02-24,13.9
2016-02-25,14.9
2016-02-26,17.7
2016-02-27,19.3
2016-02-28,19.1
2016-02-29,19.6
2016-03-01,20.5
2016-03-02,20.0
2016-03-03,19.6
2016-03-04,20.9
2016-03-05,20.7
2016-03-06,21.9
2016-03-07,22.9
2016-03-08,20.2
2016-03-09,16.2
2016-03-10,15.3
2016-03-11,16.9
2016-03-12,19.0
2016-03-13,18.0
2016-03-14,19.1
2016-03-15,20.5
2016-03-16,22.3
2016-03-17,22.4
2016-03-18,23.5
2016-03-19,23.3
2016-03-20,22.9
2016-03-21,23.9
2016-03-22,18.0
2016-03-23,18.5
2016-03-24,18.2
2016-03-25,18.5
2016-03-26,18.5
2016-03-27,18.9
2016-03-28,20.5
2016-03-29,20.8
2016-03-30,21.4
2016-03-31,22.4
2016-04-01,23.9
2016-04-02,24.9
2016-04-03,24.3
2016-04-04,24.1
2016-04-05,24.5
2016-04-06,24.1
2016-04-07,24.6
2016-04-08,25.9
2016-04-09,26.4
2016-04-10,26.6
2016-04-11,26.7
2016-04-12,27.0
2016-04-13,26.9
2016-04-14,27.2
2016-04-15,26.5
2016-04-16,22.5
2016-04-17,23.8
2016-04-18,24.2
2016-04-19,24.5
2016-04-20,22.8
2016-04-21,24.9
2016-04-22,26.0
2016-04-23,26.4
2016-04-24,27.8
2016-04-25,27.4
2016-04-26,27.9
2016-04-27,26.0
2016-04-28,26.9
2016-04-29,26.8
2016-04-30,28.3
2016-05-01,28.3
2016-05-02,28.7
2016-05-03,29.4
2016-05-04,29.6
2016-05-05,29.4
2016-05-06,28.8
2016-05-07,29.4
2016-05-08,27.5
2016-05-09,28.4
2016-05-10,27.4
2016-05-11,27.7
2016-05-12,28.0
2016-05-13,27.4
2016-05-14,26.9
2016-05-15,26.2
2016-05-16,27.3
2016-05-17,29.3
2016-05-18,30.3
2016-05-19,29.0
2016-05-20,27.8
2016-05-21,28.2
2016-05-22,25.9
2016-05-23,26.8
2016-05-24,28.9
2016-05-25,29.0
2016-05-26,28.9
2016-05-27,28.9
2016-05-28,27.9
2016-05-29,31.0
2016-05-30,32.6
2016-05-31,33.3
2016-06-01,33.3
2016-06-02,31.4
2016-06-03,30.0
2016-06-04,30.1
2016-06-05,29.1
2016-06-06,28.2
2016-06-07,30.0
2016-06-08,30.1
2016-06-09,32.3
2016-06-10,32.9
2016-06-11,33.1
2016-06-12,33.9
2016-06-13,34.0
2016-06-14,27.2
2016-06-15,29.2
2016-06-16,29.5
2016-06-17,29.8
2016-06-18,30.8
2016-06-19,31.1
2016-06-20,30.7
2016-06-21,29.4
2016-06-22,30.3
2016-06-23,30.7
2016-06-24,31.3
2016-06-25,29.6
2016-06-26,30.9
2016-06-27,29.5
2016-06-28,28.3
2016-06-29,30.1
2016-06-30,29.0
2016-07-01,30.0
2016-07-02,30.7
2016-07-03,27.9
2016-07-04,27.0
2016-07-05,28.4
2016-07-06,30.2
2016-07-07,31.9
2016-07-08,33.0
2016-07-09,32.6
2016-07-10,28.6
2016-07-11,28.9
2016-07-12,28.7
2016-07-13,30.1
