datetime,sealevelpressure_roll_mean_28,sealevelpressure_roll_mean_21,sealevelpressure_roll_mean_56,dew,sealevelpressure,sealevelpressure_roll_mean_14,daylength_uv,day_cos,sealevelpressure_lag7,temp_lag3,temp_lag1,week_cos,solarradiation,day_length_h,sealevelpressure_roll_mean_7,sealevelpressure_roll_mean_84,sealevelpressure_lag1,dew_lag1,temp_lag7,precip_roll_std_56,precip_roll_mean_56,windspeed_roll_mean_84,solarenergy,cloudcover_roll_std_84,humidity_roll_std_56,sealevelpressure_lag3,humidity_roll_std_84,winddir,day_sin,cloudcover_roll_std_56,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain
2015-03-26,0.41969114648479583,0.5155429273087702,0.7859054027037543,-0.34431803721808074,1.5526053913965092,0.4287788638819862,-1.441256202612947,0.18372788992544187,-0.2864624292263313,-0.3720205048908303,-1.0162403833473481,0.026217930367764267,-1.3900441443251859,0.05260701847184071,0.7009766631009439,1.063596998413436,1.5514074446109496,-0.5407876358615005,0.2338325356104199,-1.0323033899552634,-0.8684615948409716,0.33878374732636285,-1.3773797968356154,1.6768939821048545,-0.7960435929762288,0.6479242315895885,-0.6612517588872416,1.7774303895127497,1.3722441419429987,-0.4549933731121524,0.0,0.0,0.0,1.0
2015-03-27,0.49510324513898213,0.5924288674656344,0.8061167758502448,-0.12942737627150716,1.3411907772787381,0.4604160859080457,-1.070126283309448,0.1594873545089187,0.17988671321008093,-0.9177981680986207,-0.8798668468789181,0.026217930367764267,-0.9929760079859804,0.07521970229282741,0.9821981304428945,1.0605816177476675,1.5514074446109496,-0.343775696676912,-0.058733205114267724,-1.0317053432161694,-0.854119365141059,0.3199374158144388,-1.0057970949268071,1.499365514045738,-0.7965955945665945,1.212245507676205,-0.7587654498417543,-0.22579952507682086,1.374650953418371,-0.4536296272073035,0.0,0.0,0.0,1.0
2015-03-28,0.558238955640154,0.6470178849770022,0.8110165026736192,-0.0757047110348636,0.7492298577489729,0.522560629173536,0.04326347460104908,0.13520897398310092,0.6744994400365856,-1.0152584651000118,-0.5681559063796491,0.026217930367764267,0.2766140201795054,0.09783238611381614,1.159583979073969,1.0558431624156752,1.340000054910724,-0.12885358120281584,-0.07823758782924717,-1.0317158470806729,-0.8540725104213598,0.29873529286352335,0.2724473996394936,1.4327236123282974,-0.7935351730980328,1.5508382733281718,-0.848823309621038,0.030176731058816984,1.376640220870016,-0.46391238386645933,0.0,0.0,0.0,1.0
2015-03-29,0.5816225521220854,0.6570130571973958,0.789886430747757,0.12127839483282857,0.28411770668988306,0.5508081488396906,0.04693885907818882,0.11089994255610867,0.5897086868663405,-0.8788140492980644,-0.3343727010051976,0.026217930367764267,0.042742172885863114,0.12075913498787116,1.170400189356349,1.0478739420846677,0.7480593637500857,-0.07512305233429165,-0.29278579769401836,-1.03148291110282,-0.8554266118206656,0.36469745315525876,0.06436108657056112,1.3970699878076875,-0.7956588178361051,1.5508382733281718,-0.8666266461433282,0.11646086234049267,1.378211354835055,-0.4671524300121279,0.0,0.0,0.0,1.0
2015-03-30,0.5564851859040171,0.6462490255754447,0.7537509454252945,0.2824463905427592,-0.05414567589854739,0.5643669582794176,0.050563895822765055,0.08656746351858499,0.6462358556465092,-0.5669410988936125,-0.06162562806833697,-0.14371401148899648,-0.0009481722129488576,0.14337181880885988,1.1228088641138698,1.0467970204183086,0.28296310640959577,0.12188888685029624,-0.3708033285539348,-1.031022867972448,-0.8577178076139544,0.39610800567513454,0.01977116234150402,1.4005925029490554,-0.7932197382291578,1.3392177947956907,-0.866565497167818,0.15528872141724678,1.379363889752587,-0.4693320448108889,0.0,0.0,0.0,1.0
2015-03-31,0.5430396179269051,0.6039617584891429,0.7117970345000274,0.4077992760949271,-0.32193752044772084,0.5654968590660826,1.171228901088696,0.06221874710920787,1.2115075434482288,-0.333036386090274,0.1721575773061145,-0.14371401148899648,1.1105856075068337,0.1659845026298466,1.0146467612900347,1.0455047144187024,-0.05528871711076205,0.28308047345586884,-0.9169260445733518,-1.031022867972448,-0.8577178076139544,0.4974070375517243,1.1047926519152245,1.3927898039464164,-0.7843296337887653,0.7466804549047368,-0.8760516985153624,-0.02446988541957758,1.380097484101642,-0.4790694281088108,0.0,0.0,0.0,1.0
2015-04-01,0.5395320784546312,0.5393775687573997,0.6673932601631022,0.5510597167259763,-0.6461065954283127,0.5914845771589076,1.17666645620556,0.03786100837813713,1.5506705561292573,-0.060147554486378395,0.3085311137745445,-0.14371401148899648,1.2853469879020827,0.18859718645083332,0.7788533771341182,1.035812419421512,-0.3230714107310447,0.4084517074824249,-1.0144479581482477,-1.031022867972448,-0.8577178076139544,0.6199081923792319,1.2682890407551,1.3854254969395954,-0.7777016360308217,0.28111540213328445,-0.8857934303646653,-0.12082049868411548,1.380411920502382,-0.49088621896860835,0.0,0.0,1.0,0.0
2015-04-02,0.5079642232040545,0.4455767217660148,0.6171710602233527,0.6226899370415007,-1.1253130540952572,0.5948742795188663,1.182028489723579,0.013501465049041823,1.5506705561292573,0.17375715831696018,0.34749498133695295,-0.14371401148899648,1.5127937844458996,0.21089580521875173,0.4413876163237705,1.009320146429194,-0.6472294082714003,0.5517331177984892,-0.8779172791433936,-1.0334086937537839,-0.878975793941463,0.6269755666962014,1.52096527805309,1.3737279464731502,-0.7993540583013787,-0.0574773635186823,-0.8965700136971072,-0.31927400063196953,1.3803071057805152,-0.5044956454834577,0.0,0.0,1.0,0.0
2015-04-03,0.455351131119723,0.32102149871192825,0.548268651769477,0.5689672718048571,-1.4071992062522851,0.5270802323201416,1.5617007409853618,-0.010852664619667931,1.3386936732036125,0.3102015741189076,0.5617962529302005,-0.14371401148899648,1.6271596877927903,0.23382255409280875,0.030371625593224538,0.963874052109031,-1.1264194915919086,0.623373822956521,-0.5658471557037265,-1.0328915065126003,-0.8818761010908409,0.6929377269879391,1.6250084345875562,1.3768890177386037,-0.8245535970139499,-0.325529969659822,-0.9411663221139693,-0.3523495842899452,1.3797830709949062,-0.4585493830198791,0.0,0.0,0.0,1.0
2015-04-04,0.38286198202577115,0.21338118249230745,0.47752884575681886,0.6226899370415007,-1.1253130540952572,0.39940144342922046,1.567658556005382,-0.035194163973765825,0.7451584010118004,0.3491856929194639,0.600760120492609,-0.14371401148899648,1.637439768992511,0.25612117286072517,-0.39146057541968426,0.9130433494571342,-1.4082960111922094,0.5696432940879969,-0.33179456312397654,-1.032993160722353,-0.8814075538938493,0.7219924880688211,1.6101451265112037,1.4883114404917561,-1.1446975994009043,-0.6500147034096362,-0.9508561824043127,-0.26318931529888023,1.3788399714283714,-0.3414900643469984,0.0,0.0,1.0,0.0
