,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
day_length_h,0.8025636595895194,0.611505731542755,1.7959759313620083,0.024171002675397332,2.5
temp_lag1,0.7712090221479142,0.4978700334759649,0.17731730820746677,0.007654003052732608,6.0
temp_lag3,0.758840109531062,0.5126137560050248,0.19442523872213857,0.00654911943536808,6.75
temp_lag7,0.7490516170244694,0.46404731296167157,0.16331033996157737,0.00665142753336961,8.0
sealevelpressure_lag1,0.6995372712533672,0.4182230852331106,0.059257562947068534,0.011210347321037557,8.75
sealevelpressure_lag7,0.7182060106593644,0.42996134058766255,0.04694107676569066,0.00724941245175847,9.5
sealevelpressure_lag3,0.6988164657929361,0.416227040001802,0.03334401539623492,0.012854375735302943,9.75
day_cos,0.8417475361053209,0.6886452635198679,0.0,0.6592979734132551,10.125
week_cos,0.8298838935787539,0.639634506407198,0.0,0.008754553894137755,12.875
dew_lag1,0.7075314178862231,0.42736162008923984,0.06512459886510702,0.005104434277690925,13.0
daylength_uv,0.5492077252772541,0.41643245936517914,0.008287630316781232,0.004545114326089169,18.5
dew_lag3,0.6984641025932272,0.45282210731729267,0.0,0.005690292757278439,19.625
week_sin,0.22247658224501676,0.28825223646953324,0.0,0.020404245732443684,20.125
day_sin,0.1765034770940277,0.2877016753390791,0.0,0.06887133423579789,21.125
dew_lag7,0.6944366998709448,0.429263934209299,0.0,0.004489761835363358,22.875
solarradiation,0.500666308668871,0.1818356670608221,0.00191109255753497,0.0039479767693716165,23.25
cloudcover_lag1,0.13316240810667637,0.06715054465700376,0.003253747967307808,0.007830644937955232,23.5
cloudcover_lag7,0.07346537741931712,0.05703738539191683,0.005167356494251063,0.00913874199225818,24.5
month_cos,0.758713162365218,0.454280292586942,0.0,0.0002630770631484007,24.625
cloudcover_lag3,0.10872340736838756,0.09182208305018325,0.0002207856597101508,0.007557638316160854,24.75
visibility,0.41218119960935296,0.15350481284162676,0.0,0.005301176716940919,25.125
winddir,0.1427877973138504,0.04671698244942668,0.002118486240158138,0.0059598471275356365,26.0
precip_lag3,0.1788022983835423,0.07566750747486406,0.015259745887778065,0.0038748859195192257,26.25
precip_lag7,0.1730714097976657,0.07188582933925058,0.011395441189300576,0.0043378038312972675,26.5
windgust,0.10166169786675744,0.02763362508138556,0.018750032236960337,0.005877934286013849,27.25
year,0.04357086141339611,0.03513537981369197,0.0034954306839197835,0.012029934510660797,27.5
is_spring,0.570344707984607,0.2168811772731769,0.0,0.0010001256872692722,28.125
precip_lag1,0.17177064004664128,0.04895775177624495,0.015313007610213853,0.0036796902236956087,28.75
solarenergy,0.5002505417406772,0.1532150016794107,0.0,0.0027573205407212635,29.125
winddir_cos_lag3,0.18689894123664516,0.044311688596909704,0.0,0.005713211592406679,29.875
winddir_cos_lag7,0.21600514793044137,0.06367579733511874,0.0,0.004996584034852401,30.375
month_sin,0.38377000376819803,0.2584643189301077,0.0,0.0005318003166988227,30.375
winddir_cos_lag1,0.2057311052768541,0.043918234212809715,0.0,0.005271431508284224,30.625
uvindex,0.46931137544655077,0.14764534416705688,0.0,0.000665681263834651,30.625
is_autumn,0.46429709998551694,0.20159307702419138,0.0,7.060002705894758e-05,31.125
humidity_lag7,0.07736320781210868,0.0020287572792270225,0.010775441115047999,0.005193048702913637,31.5
is_winter,0.299903089434099,0.09673771413639565,0.0,0.0012807229410501705,31.875
humidity_lag3,0.06427159997788785,0.036449363911410515,0.0018624083595680163,0.0051356052596611326,32.5
windspeed_lag3,0.10086130879469375,0.016714923362950884,0.028007138561597877,0.0037031821704115687,32.5
windspeed_lag1,0.0957789067205277,0.000340847584789028,0.03915878803402807,0.003969771064945452,32.5
is_summer,0.4080441346880891,0.09725950637525971,0.0,2.872813033515829e-05,33.125
precipprob,0.15256058627717803,0.03774531303990303,0.0015945154195754262,0.0003785624408906197,34.75
humidity_lag1,0.06075748059525946,0.036268190383127674,0.0,0.0058305880092059045,35.125
moonphase,0.02625232166089835,0.0,0.0,0.009019536091193759,35.5
winddir_sin_lag7,0.02151844059766002,0.05351286482899287,0.0,0.005038292594183583,36.375
windspeed_lag7,0.13637049188399156,0.031168805180918913,0.0,0.004379360383907191,36.625
winddir_sin_lag3,0.02360826334774295,0.0127409956070057,0.0,0.00514119036310475,38.875
precipcover,0.07619355942593407,0.03730377513152483,0.0,0.001632996177691638,39.375
winddir_sin_lag1,0.008172424457338283,0.016549412041023004,0.0,0.0044668742908410795,40.875
is_weekend,0.004142309158614162,0.0,0.0,0.0004980360369575542,45.75
