target,MAE,RMSE,MAPE,R2,n_samples
t+1,1.167412814807342,1.51829112423011,4.9442979239434806,0.902168380755894,585
t+2,1.545549666116731,1.9818822981222526,6.657902919962558,0.8333272745851944,585
t+3,1.6464642758107682,2.1359131175164983,7.137850217135989,0.8063682892479626,585
t+4,1.7315950441794776,2.206022350813507,7.554533734959257,0.7927297098640338,585
t+5,1.747099877700228,2.2128011930191605,7.577221529660805,0.7889703881221031,585
