tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,dt_year,dt_month,dt_day,dt_dayofweek,name,preciptype,sunrise,sunset,conditions,description,icon,stations
-0.7279613922630275,-2.138956032216202,-1.3584991142115,-0.8629894057580393,-1.83678273637823,-1.2196305761350958,-1.958067582209762,-1.3887192818903569,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.22511362134905563,-0.9081259902335486,-0.4942651653360829,1.719597540435416,-2.6366684633601385,-0.752731138969989,0.5657148675166676,0.5741243777185977,0.4825965635597532,0.0,-0.42747454315781175,-1.5029888688616952,-1.5490053320580006,-1.6680875534385449,-0.0010918030390200068,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0
-1.0671480152868589,-2.2209567322187147,-1.6283068047263691,-1.074630813760814,-1.9024224280370763,-1.4009723019331508,-1.958067582209762,-1.2184562204507903,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.48006542825025017,-0.7176258842915462,-0.1849917634004992,1.6212794773965935,-1.5780301971390915,-0.4657436784399228,0.4397077556020462,0.44026900474433894,0.4825965635597532,0.0,-0.32352798580911096,-1.5029888688616952,-1.5490053320580006,-1.5544980454011488,0.4989539888321547,0.0,0.0,1.0,1.0,2.0,32.0,2.0,1.0
-1.2367413267987746,-1.7904530572055224,-1.4934029594689346,-1.1804515177622015,-1.557814046828134,-1.3103014390341234,-1.4233681288323534,-0.2725503235643075,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.7350172351514442,-0.9081259902335486,-0.2252692296990868,1.2420526628182353,-0.9686459850706739,-1.441501044242148,-0.48734456776980994,-0.49671860607547025,-0.7168384891947256,0.0,-0.18493257601084342,-1.5029888688616952,-1.5490053320580006,-1.4409085373637527,0.9989997807033294,0.0,0.0,2.0,2.0,2.0,32.0,2.0,1.0
-0.9653920283797092,-1.0114464071816505,-1.0501474679087919,-1.0111383913599814,-0.9342369760690962,-1.0123828895087466,-0.7639054696668828,0.332829450443042,-0.4054363424526073,0.6025738445163697,2.2635083010250283,0.0,0.0,-0.22511362134905563,-0.019125495837538215,-0.2008150537320871,0.32909922031479594,1.0774615882977354,-1.2693085679241083,-1.1456674381808922,-1.1362498325080386,-1.1166501734462184,0.0,-0.08098601866214264,-1.5029888688616952,-1.5490053320580006,-1.3273190293263566,1.499045572574504,0.0,0.0,3.0,3.0,5.0,24.0,3.0,1.0
-0.8975547037749432,-0.6834436071715987,-0.8381557110756807,-0.9688101097594267,-0.6716782094337114,-0.869900104953132,-0.35396922207753684,0.9382092244503915,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-1.0891169669586587,-0.9081259902335486,-0.3878175758326726,0.006054156044354513,1.1931111467924713,-2.4531318426106328,-0.7676461024370286,-0.7941749904627113,-0.7168384891947256,0.0,0.057609391136124885,-1.5029888688616952,-1.5490053320580006,-1.2137295212889603,-1.501229178652544,0.0,0.0,4.0,4.0,1.0,23.0,1.0,1.0
-0.8127580480189853,-0.3759409821621754,-0.5876199984547305,-0.915899757758733,-0.4255293657130384,-0.7015113595692234,-0.14008944072657292,0.9192911065126615,-0.5519263989837233,0.6025738445163697,-0.4393287626292248,0.0,0.0,0.6955456813497021,-1.479626308059555,-0.3906945377111432,0.2869629075838743,1.148630547371419,-2.417258410044373,-1.436255267698284,-1.4485790361146418,-1.5164618576977114,0.0,0.16155594848482566,-1.5029888688616952,-1.5490053320580006,-1.1001400132515642,-1.0011833867813693,0.0,0.0,5.0,5.0,5.0,27.0,3.0,1.0
-1.1519446710428167,-0.990946232181022,-1.1272353794844692,-1.1275411657615078,-0.9178270531543844,-1.064194811165334,-1.0134318812430072,-0.13066443903133504,-0.3628913755392799,0.6025738445163697,0.10046010846063083,0.0,0.0,0.3839379173593534,1.6318754223264813,-1.1401431070527204,1.059461974317554,1.2420398061556293,0.3952187031502753,-1.6445527384142906,-1.6567985051857106,-1.9162735419492043,0.0,0.300151358283093,-1.5029888688616952,-1.5490053320580006,-0.9865505052141681,-0.5011375949101947,0.0,0.0,6.0,6.0,4.0,21.0,3.0,1.0
-1.8981552416952454,-1.5034506071967273,-1.7053947163020462,-1.5931522633676123,-1.3280751260221726,-1.4527842235897381,-1.7263644857462184,-0.6698308002566291,-0.6481360400718159,0.6025738445163697,-0.4393287626292248,0.0,0.0,-0.6358693102454243,-0.33662567240754193,1.7862665537040379,1.8179156034742383,0.8194741116556317,-0.1787562179098571,-1.5468329373376457,-1.522943132211452,-1.5164618576977114,0.0,0.40409791563179376,-1.5029888688616952,-1.5490053320580006,-0.8729609971767719,-0.0010918030390200068,0.0,0.0,7.0,7.0,5.0,25.0,3.0,1.0
-2.084707884358353,-2.0159549822124325,-2.013746362604754,-1.7095550377691384,-1.738323198889961,-1.6600319102160872,-1.8511276915342803,-0.21579596975111767,-0.6481360400718159,0.6025738445163697,-0.4393287626292248,0.0,0.0,-0.5792133531562701,-0.14612556646553926,1.7862665537040379,1.8881427913591182,0.8194741116556317,-0.40834618633390973,-1.5866923298820665,-1.5675615898695383,-1.9162735419492043,0.0,0.5080444729804946,-1.5029888688616952,-1.5490053320580006,-0.7593714891393758,0.4989539888321547,0.0,0.0,8.0,8.0,5.0,26.0,3.0,1.0
-2.729162468103633,-2.0774555072143177,-2.4570018541648966,-2.1116737129744108,-1.7875529676340955,-1.9579504597414639,-1.708541170633638,1.307112524236119,1.9544797910210219,0.6025738445163697,1.182632989443659,0.0,0.0,-1.0891169669586587,-0.5271257783495439,1.7862665537040379,1.9021882289361134,1.2509359260398398,-0.3509486942278962,-1.8001329480231596,-1.8055266973793311,-1.9162735419492043,0.0,0.6119910303291953,-1.5029888688616952,-1.5490053320580006,-0.6457819811019796,0.9989997807033294,0.0,0.0,9.0,9.0,4.0,15.0,3.0,1.0
-2.254301195870269,-2.0774555072143177,-2.264282075225704,-1.8153757417705259,-1.7875529676340955,-1.8284206555999958,-1.6728945404084774,0.8719958116683374,1.9544797910210219,0.6025738445163697,1.182632989443659,0.0,0.0,-0.5367213853394043,-1.479626308059555,1.7862665537040379,1.7336429780123952,1.2153514465029975,0.5674111794683154,-1.7204141629343177,-1.7162897820631589,-1.9162735419492043,0.0,0.7505864401274627,-1.5029888688616952,-1.5490053320580006,-0.5321924730645834,1.499045572574504,0.0,0.0,10.0,10.0,4.0,15.0,3.0,1.0
-1.4063346383106903,-2.0159549822124325,-1.8402985615594811,-1.286272221763589,-1.738323198889961,-1.543455086488766,-1.7441878008587988,-0.2725503235643075,0.2714154038957832,0.6025738445163697,-0.4393287626292248,0.0,0.0,0.4830858422653734,-0.5271257783495439,-1.5745643507017728,1.6915066652814734,-0.3325734133496251,0.050833750514196065,-0.6917846779170016,-0.7049380751465391,-0.31702680494323265,0.0,0.8545329974761634,-1.5029888688616952,-1.5490053320580006,-0.4186029650271873,-1.501229178652544,0.0,0.0,11.0,11.0,5.0,26.0,3.0,1.0
-1.3893753071594983,-2.630960232231279,-1.9559304289229964,-1.27569015136345,-2.3126705009048645,-1.6211729689736467,-2.029360842660083,-0.6036173874745764,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.7350172351514442,-1.2891262021175531,1.7862665537040379,1.6774612277044942,-2.4009212864285603,-0.2935512021218832,0.7225808639818081,0.7228525699122182,0.8824082478112462,0.0,0.9238307023752973,-1.5029888688616952,-1.5490053320580006,-0.30501345698979115,-1.0011833867813693,0.0,0.0,12.0,12.0,0.0,9.0,0.0,1.0
-1.3893753071594983,-2.425958482224997,-1.9752024068169156,-1.27569015136345,-2.0665216571841913,-1.6341259493877935,-1.9224209519846016,-0.37659997222182,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-1.2449208489538333,-0.33662567240754193,-1.1631588020804848,1.719597540435416,-1.4267961591075133,-0.9823211073940422,0.5335701961098764,0.5443787392798732,0.8824082478112462,0.0,1.062426112173565,-1.5029888688616952,-1.5490053320580006,-0.19142394895239498,-0.5011375949101947,0.0,0.0,13.0,13.0,2.0,32.0,2.0,1.0
-1.2367413267987746,-2.425958482224997,-1.8595705394534001,-1.1804515177622015,-2.0665216571841913,-1.5564080669029128,-1.8333043764217,-0.3860590311906843,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-1.1457729240478134,-0.7176258842915462,-0.19937657279285192,1.508915976780776,-2.525466964807507,-1.7858859968782272,0.26355495629283093,0.2617951741119944,0.4825965635597532,0.0,1.2010215219718323,-1.5029888688616952,-1.5490053320580006,-0.07783444091499883,-0.0010918030390200068,0.0,0.0,14.0,14.0,0.0,9.0,0.0,1.0
-1.1519446710428167,-2.2209567322187147,-1.7246666941959654,-1.1275411657615078,-1.9024224280370763,-1.465737204003885,-1.708541170633638,-0.3576818542840901,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-1.3015768060429873,-0.9081259902335486,1.7862665537040379,1.6493703525505359,-2.383129046660139,-1.6136935205601877,0.48213872185901063,0.47001464318306296,0.4825965635597532,0.0,1.3049680793205332,-1.5029888688616952,-1.5490053320580006,0.03575506712239732,0.4989539888321547,0.0,0.0,15.0,15.0,0.0,9.0,0.0,1.0
-0.982351359530901,-2.2209567322187147,-1.5704908710446113,-1.0217204617601203,-1.9024224280370763,-1.3621133606907103,-1.8511276915342803,-0.8873891565405212,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.5367213853394043,-0.7176258842915462,-1.1358276642350147,1.663415790127515,-2.5165708449232964,-1.0971160916060687,0.5798585229356557,0.5741243777185977,0.4825965635597532,0.0,1.408914636669234,-1.5029888688616952,-1.5490053320580006,0.1493445751597935,0.9989997807033294,0.0,0.0,16.0,16.0,0.0,9.0,0.0,1.0
-0.982351359530901,-1.9749546322111764,-1.3584991142115,-1.0217204617601203,-1.705503353060538,-1.2196305761350958,-1.7263644857462184,-1.1617018666376004,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.7916731922405988,-0.9081259902335486,-1.032257036610075,1.6493703525505359,-1.8982905129706684,-0.8675261231820156,0.2931280539870786,0.2915408125507184,0.8824082478112462,0.0,1.5128611940179346,-1.5029888688616952,-1.5490053320580006,0.26293408319718964,1.499045572574504,0.0,0.0,17.0,17.0,2.0,2.0,2.0,1.0
-1.0671480152868589,-1.4009497321935862,-1.3199551584236617,-1.074630813760814,-1.246025511448615,-1.1937246153068022,-1.6550712252958972,-1.1806199845753302,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.7916731922405988,0.25604132385646516,-1.1717896877158964,1.5370068519347344,-1.813777374070669,-1.384103552136135,0.037256469589021464,0.023830066602201605,0.4825965635597532,0.0,1.651456603816202,-1.5029888688616952,-1.5490053320580006,0.3765235912345858,-1.501229178652544,0.0,0.0,18.0,18.0,2.0,32.0,2.0,1.0
-1.0671480152868589,-1.6059514821998684,-1.4355870257871768,-1.074630813760814,-1.4101247405957302,-1.2714424977916827,-1.4768380741700944,-0.44281338500387407,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.9899690420526387,-1.479626308059555,-0.042582150416207075,1.2560981003952145,-2.1785182893232986,-2.3024634258323466,0.5502854252414077,0.5592515584992355,0.4825965635597532,0.0,-1.67483323134222,-1.5029888688616952,-1.5490053320580006,0.49011309927198193,-1.0011833867813693,0.0,0.0,19.0,19.0,0.0,9.0,0.0,1.0
-0.9145140349261349,-1.6059514821998684,-1.300683180529742,-0.9793921801595655,-1.4101247405957302,-1.1807716348926551,-1.19166503236881,-0.06445102624928098,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.9333130849634846,-1.2891262021175531,1.7862665537040379,1.5370068519347344,-2.1607260495548775,-2.4531318426106328,-0.23404455708429597,-0.24388067934631547,0.08278487930826028,0.0,-1.6055355264430862,-1.5029888688616952,-1.5490053320580006,0.6037026073093781,-0.5011375949101947,0.0,0.0,20.0,20.0,0.0,9.0,0.0,1.0
-0.6431647365070696,-1.6059514821998684,-1.1657793352723076,-0.8100790537573456,-1.4101247405957302,-1.0901007719936278,-1.138195087031069,-0.20633691078225339,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,-0.06930973935388104,0.23487464541846462,0.0466036678163799,1.2420526628182353,-2.6366684633601385,-2.4531318426106328,0.28798490656199227,0.2766679933313564,0.8824082478112462,0.0,-1.4669401166448186,-1.5029888688616952,-1.5490053320580006,0.7172921153467743,-0.0010918030390200068,0.0,0.0,21.0,21.0,0.0,9.0,0.0,1.0
-0.7279613922630275,-1.093447107184163,-0.992331534227034,-0.8629894057580393,-0.999876667727942,-0.9735239482663061,-0.8530220452297845,0.030139563439367287,-0.5988225556950046,0.6025738445163697,0.10046010846063083,0.0,0.0,0.8938415311617425,1.0603751045004748,-0.029635821963089736,0.6380988470082741,-2.169622169439088,-2.130270949514307,-0.6313526956722343,-0.6305739790497288,-0.31702680494323265,0.0,-1.362993559296118,-1.5029888688616952,-1.5490053320580006,0.8308816233841704,0.4989539888321547,0.0,0.0,22.0,22.0,3.0,7.0,3.0,1.0
-0.38877476923919607,-0.8884453571778809,-0.7032518658182454,-0.6513479977552644,-0.8357774385808266,-0.7792292420541039,-0.6034956336536605,0.020680504470502997,-0.6955156623162032,-1.659547637356559,-0.9804152031207387,0.0,0.0,2.267748490573734,2.012875634210486,0.03941126312020354,0.3993264081996759,-1.9472191723338261,-1.5562960284541745,0.1465483523721113,0.15768543957646014,0.08278487930826028,0.0,-1.2243981494978502,-1.5029888688616952,-1.5490053320580006,0.9444711314215666,0.9989997807033294,0.0,0.0,23.0,23.0,0.0,14.0,0.0,1.0
-0.38877476923919607,-0.4374415071640602,-0.5876199984547305,-0.6513479977552644,-0.4747591344571731,-0.7015113595692234,-0.4252624825278577,0.17202544797233968,-0.6481360400718159,0.6025738445163697,-0.4393287626292248,0.0,0.0,-0.3809175033442297,1.4413753163844794,-0.02675886008461915,0.624053409431295,0.7127206730451058,-0.06396123369783001,-0.7252151361800643,-0.7198108943659011,-0.7168384891947256,0.0,-1.1204515921491496,-1.5029888688616952,-1.5490053320580006,1.0580606394589627,1.499045572574504,0.0,0.0,24.0,24.0,5.0,25.0,3.0,1.0
