datetime,day_cos,sealevelpressure_roll_std_21,cloudcover_roll_std_84,cloudcover_roll_std_56,sealevelpressure_roll_mean_56,daylength_uv,precip_roll_std_56,dew_lag3,sealevelpressure,temp_lag1,dew_lag7,sealevelpressure_lag3,precip_roll_std_21,windspeed_roll_mean_84,temp_lag7,cloudcover_roll_mean_84,solarradiation,sealevelpressure_roll_mean_21,day_length_h,week_cos,sealevelpressure_roll_mean_14,precip_roll_mean_56,humidity_roll_std_84,precip_roll_std_7,dew,sealevelpressure_roll_std_28,solarenergy,winddir,sealevelpressure_roll_mean_7,dew_lag1,precip_roll_mean_14,temp_lag3,sealevelpressure_roll_mean_28,windspeed_roll_mean_56,sealevelpressure_lag1,sealevelpressure_lag7,humidity_roll_std_56,precip_roll_mean_28,sealevelpressure_roll_mean_84,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain
2015-03-26,0.18372788992544187,0.6606445859268842,1.6768939821048534,-0.45499337311215227,0.7859054027037543,-1.441256202612947,-1.0323033899552616,0.03320578861938269,1.5526053913965092,-1.0162403833473481,0.41063222917309444,0.6479242315895885,-0.5951707809348948,0.33878374732636285,0.2338325356104199,0.7261737412268949,-1.3900441443251859,0.5155429273087702,0.05260701847184071,0.026217930367764267,0.4287788638819862,-0.8684615948409716,-0.6612517588872444,0.043944209051050925,-0.34431803721808074,0.42278775553745124,-1.3773797968356154,1.7774303895127497,0.7009766631009439,-0.5407876358615005,-0.37196110595482473,-0.3720205048908303,0.41969114648479583,0.7845054233078212,1.5514074446109496,-0.2864624292263313,-0.7960435929762286,-0.5939993278121689,1.063596998413436,0.0,0.0,0.0,1.0
2015-03-27,0.1594873545089187,0.9060897068224923,1.4993655140457367,-0.4536296272073033,0.8061167758502448,-1.070126283309448,-1.0317053432161671,-0.2892973475212209,1.3411907772787381,-0.8798668468789181,0.3568079134829366,1.212245507676205,-0.5985756376170686,0.3199374158144388,-0.058733205114267724,0.8606371245888168,-0.9929760079859804,0.5924288674656344,0.07521970229282741,0.026217930367764267,0.4604160859080457,-0.854119365141059,-0.7587654498417571,0.010985608521947908,-0.12942737627150716,0.5961456695312257,-1.0057970949268071,-0.22579952507682086,0.9821981304428945,-0.343775696676912,-0.35239869901339305,-0.9177981680986207,0.49510324513898213,0.6056542351459026,1.5514074446109496,0.17988671321008093,-0.7965955945665943,-0.5662797948409681,1.0605816177476675,0.0,0.0,0.0,1.0
2015-03-28,0.13520897398310092,1.0414773312855228,1.432723612328296,-0.4639123838664592,0.8110165026736192,0.04326347460104908,-1.031715847080671,-0.5401331200750232,0.7492298577489729,-0.5681559063796491,0.1953349664124638,1.5508382733281718,-0.5955613750643728,0.29873529286352335,-0.07823758782924717,0.9446020373103724,0.2766140201795054,0.6470178849770022,0.09783238611381614,0.026217930367764267,0.522560629173536,-0.8540725104213598,-0.8488233096210408,0.012297911546493397,-0.0757047110348636,0.6644281440911861,0.2724473996394936,0.030176731058816984,1.159583979073969,-0.12885358120281584,-0.3584107126116356,-1.0152584651000118,0.558238955640154,0.43342716506405504,1.340000054910724,0.6744994400365856,-0.7935351730980327,-0.5654295530613273,1.0558431624156752,0.0,0.0,0.0,1.0
2015-03-29,0.11089994255610867,1.0481864731264803,1.3970699878076862,-0.46715243001212775,0.789886430747757,0.04693885907818882,-1.031482911102818,-0.34304787021132094,0.28411770668988306,-0.3343727010051976,-0.019962296348167468,1.5508382733281718,-0.5935984069458139,0.36469745315525876,-0.29278579769401836,0.9870327049490247,0.042742172885863114,0.6570130571973958,0.12075913498787116,0.026217930367764267,0.5508081488396906,-0.8554266118206656,-0.866626646143331,0.029260527109777276,0.12127839483282857,0.6572944886716796,0.06436108657056112,0.11646086234049267,1.170400189356349,-0.07512305233429165,-0.38604105489993173,-0.8788140492980644,0.5816225521220854,0.39368245658362944,0.7480593637500857,0.5897086868663405,-0.795658817836105,-0.5637620886002842,1.0478739420846677,0.0,0.0,0.0,1.0
2015-03-30,0.08656746351858499,1.0655317247407439,1.400592502949054,-0.4693320448108888,0.7537509454252945,0.050563895822765055,-1.031022867972446,-0.12804577945091877,-0.05414567589854739,-0.06162562806833697,0.03386201934199035,1.3392177947956907,-0.5914581995733005,0.39610800567513454,-0.3708033285539348,0.9906183951720089,-0.0009481722129488576,0.6462490255754447,0.14337181880885988,-0.14371401148899648,0.5643669582794176,-0.8577178076139544,-0.8665654971678209,0.061913285118594404,0.2824463905427592,0.6370585403911407,0.01977116234150402,0.15528872141724678,1.1228088641138698,0.12188888685029624,-0.39231784629913313,-0.5669410988936125,0.5564851859040171,0.4444673618641732,0.28296310640959577,0.6462358556465092,-0.7932197382291577,-0.5945936715804615,1.0467970204183086,0.0,0.0,0.0,1.0
2015-03-31,0.06221874710920787,1.141919854669785,1.392789803946415,-0.47906942810881004,0.7117970345000274,1.171228901088696,-1.031022867972446,-0.07429525676081807,-0.32193752044772084,0.1721575773061145,-0.2890838747989559,0.7466804549047368,-0.5873282196852853,0.4974070375517243,-0.9169260445733518,0.9819529771331289,1.1105856075068337,0.6039617584891429,0.1659845026298466,-0.14371401148899648,0.5654968590660826,-0.8577178076139544,-0.8760516985153651,0.07366517697100966,0.4077992760949271,0.68339893195804,1.1047926519152245,-0.02446988541957758,1.0146467612900347,0.28308047345586884,-0.39093165663528956,-0.333036386090274,0.5430396179269051,0.6166944319460228,-0.05528871711076205,1.2115075434482288,-0.7843296337887652,-0.5962693908160641,1.0455047144187024,0.0,0.0,0.0,1.0
2015-04-01,0.03786100837813713,1.2642915091350364,1.385425496939594,-0.4908862189686082,0.6673932601631022,1.17666645620556,-1.031022867972446,0.12278999310288365,-0.6461065954283127,0.3085311137745445,-0.5402640146863582,0.28111540213328445,-0.5875535227899821,0.6199081923792319,-1.0144479581482477,0.9732875590942508,1.2853469879020827,0.5393775687573997,0.18859718645083332,-0.14371401148899648,0.5914845771589076,-0.8577178076139544,-0.8857934303646681,-0.5585373970188466,0.5510597167259763,0.7075037424878098,1.2682890407551,-0.12082049868411548,0.7788533771341182,0.4084517074824249,-0.3909316566352896,-0.060147554486378395,0.5395320784546312,0.7966496397879528,-0.3230714107310447,1.5506705561292573,-0.7777016360308215,-0.6094770301114545,1.035812419421512,0.0,0.0,1.0,0.0
2015-04-02,0.013501465049041829,1.4265589024194187,1.3737279464731489,-0.5044956454834575,0.6171710602233527,1.182028489723579,-1.0334086937537819,0.28404156117318574,-1.1253130540952572,0.34749498133695295,-0.3429081904891131,-0.0574773635186823,-0.5927775558199821,0.6269755666962014,-0.8779172791433936,0.9601400282766376,1.5127937844458996,0.4455767217660148,0.21089580521875173,-0.14371401148899648,0.5948742795188663,-0.878975793941463,-0.89657001369711,-0.6939667011849758,0.6226899370415007,0.909789130747667,1.52096527805309,-0.31927400063196953,0.4413876163237705,0.5517331177984892,-0.3909316566352896,0.17375715831696018,0.5079642232040545,0.8065858169080575,-0.6472294082714003,1.5506705561292573,-0.7993540583013785,-0.6110949659251399,1.009320146429194,0.0,0.0,1.0,0.0
2015-04-03,-0.010852664619667926,1.7233068192759002,1.3768890177386024,-0.4585493830198795,0.548268651769477,1.5617007409853618,-1.0328915065125985,0.40945944745008694,-1.4071992062522851,0.5617962529302005,-0.12761092772848248,-0.325529969659822,-0.5900813200214675,0.6929377269879391,-0.5658471557037265,0.9226396846945921,1.6271596877927903,0.32102149871192825,0.23382255409280875,-0.14371401148899648,0.5270802323201416,-0.8818761010908409,-0.9411663221139721,-0.829029665715,0.5689672718048571,1.3035839272537602,1.6250084345875562,-0.3523495842899452,0.030371625593224538,0.623373822956521,-0.3909316566352896,0.3102015741189076,0.455351131119723,0.8264581711482736,-1.1264194915919086,1.3386936732036125,-0.8245535970139498,-0.6144133852981067,0.963874052109031,0.0,0.0,0.0,1.0
2015-04-04,-0.03519416397376582,2.200526323080848,1.4883114404917548,-0.3414900643469983,0.47752884575681886,1.567658556005382,-1.032993160722351,0.5527941746236886,-1.1253130540952572,0.600760120492609,-0.07378661203832465,-0.6500147034096362,-0.5892299358914174,0.7219924880688211,-0.33179456312397654,0.8258260486740081,1.637439768992511,0.21338118249230745,0.25612117286072517,-0.14371401148899648,0.39940144342922046,-0.8814075538938493,-0.9508561824043155,-0.8290557062121137,0.6226899370415007,1.7870555141096025,1.6101451265112037,-0.26318931529888023,-0.39146057541968426,0.5696432940879969,-0.3924268724524692,0.3491856929194639,0.38286198202577115,0.8871792535489244,-1.4082960111922094,0.7451584010118004,-1.1446975994009045,-0.6233698156952934,0.9130433494571342,0.0,0.0,1.0,0.0
