datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2015-01-01,Hanoi,0.471976401179941,0.2191235059760956,0.375438596491228,0.3595505617977528,0.2428198433420366,0.3149038461538461,0.37377049180327876,0.47536231884057967,0.0,0.0,0.0,no precipitation,0.0,0.0,0.16129032258064518,0.13800424628450106,0.21762090050027794,0.7006507592190871,0.004,0.47058823529411775,0.6102009273570325,0.6129032258064517,0.7000000000000001,0.25546236108198783,2015-01-01T06:33:34,2015-01-01T17:26:18,0.3673469387755102,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
2015-01-02,Hanoi,0.4129793510324484,0.20318725099601592,0.3263157894736842,0.3146067415730337,0.2323759791122716,0.28125,0.37377049180327876,0.5014492753623188,0.0,0.0,0.0,no precipitation,0.0,0.0,0.14516129032258063,0.15711252653927812,0.2773763201778766,0.6854663774403456,0.28300000000000003,0.5196078431372549,0.5799072642967542,0.5806451612903226,0.7000000000000001,0.25546236108198783,2015-01-02T06:33:53,2015-01-02T17:26:56,0.3979591836734694,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-03,Hanoi,0.38348082595870203,0.28685258964143423,0.3508771929824561,0.29213483146067415,0.2872062663185379,0.2980769230769231,0.4721311475409837,0.6463768115942028,0.0,0.0,0.0,no precipitation,0.0,0.0,0.12903225806451618,0.13800424628450106,0.2695942190105614,0.6268980477223423,0.42,0.3529411764705883,0.357032457496136,0.35483870967741943,0.4,0.25546236108198783,2015-01-03T06:34:11,2015-01-03T17:27:34,0.4387755102040816,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-04,Hanoi,0.43067846607669624,0.4382470119521912,0.43157894736842106,0.32808988764044944,0.38642297650130547,0.3533653846153846,0.5934426229508197,0.7391304347826086,0.0018011689586541662,1.0,0.25,rain,0.0,0.0,0.16129032258064518,0.22717622080679403,0.27431906614785995,0.48590021691973817,0.88,0.38235294117647056,0.19876352395672334,0.2007168458781362,0.30000000000000004,0.25546236108198783,2015-01-04T06:34:28,2015-01-04T17:28:12,0.46938775510204084,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-05,Hanoi,0.4424778761061947,0.50199203187251,0.47017543859649114,0.3370786516853932,0.42819843342036557,0.37980769230769224,0.6688524590163933,0.8318840579710145,0.0,0.0,0.0,no precipitation,0.0,0.0,0.10663082437275988,0.13800424628450106,0.23818788215675377,0.4360086767895872,0.9059999999999999,0.17647058823529418,0.28964451313755796,0.28315412186379935,0.4,0.25546236108198783,2015-01-05T06:34:44,2015-01-05T17:28:51,0.5102040816326531,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-06,Hanoi,0.45722713864306785,0.5617529880478087,0.5157894736842105,0.348314606741573,0.4673629242819844,0.41105769230769224,0.7081967213114755,0.8289855072463768,0.0008915786345338123,1.0,0.0417,rain,0.0,0.0,0.21953405017921152,0.08067940552016986,0.23763201778765983,0.4793926247288489,0.8959999999999999,0.1862745098039216,0.12890262751159198,0.12544802867383514,0.2,0.25546236108198783,2015-01-06T06:34:59,2015-01-06T17:29:30,0.5408163265306123,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-07,Hanoi,0.3982300884955752,0.4422310756972111,0.4175438596491228,0.3033707865168539,0.3890339425587468,0.34374999999999994,0.5475409836065573,0.6681159420289855,0.002065340405923444,1.0,0.0833,rain,0.0,0.0,0.19982078853046598,0.39278131634819535,0.09282934963868816,0.5986984815618221,0.917,0.6666666666666666,0.07882534775888717,0.07526881720430109,0.1,0.25546236108198783,2015-01-07T06:35:12,2015-01-07T17:30:09,0.5816326530612245,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-08,Hanoi,0.26843657817109146,0.3426294820717132,0.31228070175438594,0.20449438202247194,0.3237597911227154,0.27163461538461536,0.4163934426229508,0.5855072463768116,0.00029419092991351387,1.0,0.0417,rain,0.0,0.0,0.1353046594982079,0.19532908704883226,0.9955530850472485,0.7158351409978252,0.8220000000000001,0.5686274509803921,0.10231839258114374,0.10752688172043012,0.2,0.25546236108198783,2015-01-08T06:35:24,2015-01-08T17:30:49,0.6122448979591837,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-09,Hanoi,0.2359882005899705,0.24302788844621515,0.256140350877193,0.1797752808988764,0.2584856396866841,0.23317307692307693,0.3934426229508197,0.655072463768116,0.00029419092991351387,1.0,0.0417,rain,0.0,0.0,0.1388888888888889,0.21443736730360938,0.9874930516953864,0.7266811279826442,0.8220000000000001,0.5294117647058824,0.09273570324574962,0.09677419354838712,0.1,0.25546236108198783,2015-01-09T06:35:35,2015-01-09T17:31:29,0.6428571428571429,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2015-01-10,Hanoi,0.12389380530973448,0.23107569721115534,0.17543859649122806,0.09438202247191008,0.25065274151436034,0.17788461538461536,0.41967213114754104,0.8884057971014492,0.023652350375393625,1.0,0.16670000000000001,rain,0.0,0.0,0.10663082437275988,0.1762208067940552,0.9774874930516954,0.7288503253796073,0.919,0.5392156862745099,0.04142194744976816,0.03942652329749105,0.1,0.25546236108198783,2015-01-10T06:35:45,2015-01-10T17:32:09,0.6734693877551021,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
