name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hanoi,2025-11-12T00:00:00,22,22,18,78.06,0,0,,0,0,17.3,7.6,40,1014,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T01:00:00,22,22,19,83.1,0,0,,0,0,17.3,7.6,350,1014,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T02:00:00,22,22,17,73.28,0,0,,0,0,19.4,11.2,30,1014,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T03:00:00,22,22,16,68.76,0,0,,0,0,22,11.2,40,1014,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T04:00:00,21,21,16,73.11,0,0,,0,0,22.7,11.2,40,1014,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T05:00:00,21,21,16,73.11,0,0,,0,0,26.3,9.4,50,1015,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T06:00:00,21,21,16,73.11,0,0,,0,0,29.9,9.4,60,1016,98.5,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T07:00:00,21,21,16,73.11,0,0,,0,0,31.7,9.4,20,1017,100,10,11,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T08:00:00,21,21,15,68.57,0,0,,0,0,34.6,11.2,360,1018,100,10,50,0.2,1,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T09:00:00,22,22,15,64.49,0,0,,0,0,33.5,13,10,1018,66.4,10,144,0.5,1,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-11-12T10:00:00,24,24,15,57.14,0,0,,0,0,28.4,16.6,10,1018,52.5,10,509,1.8,5,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-11-12T11:00:00,25,25,15,53.82,0,0,,0,0,27,18.4,10,1017,78.3,10,647,2.3,6,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-11-12T12:00:00,26,26,16,54.07,0,0,,0,0,25.2,16.6,360,1016,99.2,10,532,1.9,5,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T13:00:00,25,25,16,57.38,0,0,,0,0,22.3,11.2,360,1015,100,10,231,0.8,2,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T14:00:00,26,26,18,61.38,0,0,,0,0,19.4,13,280,1014,25,10,107,0.4,1,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-11-12T15:00:00,26,26,18,61.38,0,0,,0,0,17.3,11.2,270,1014,25,10,131,0.5,1,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-11-12T16:00:00,25,25,18,65.13,0,0,,0,0,15.5,9.4,290,1013,100,10,185,0.7,2,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T17:00:00,24,24,18,69.15,0,0,,0,0,11.2,5.4,280,1014,100,10,59,0.2,1,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T18:00:00,24,24,19,73.62,0,0,,0,0,11.9,7.6,290,1014,96.1,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T19:00:00,23,23,19,78.2,0,0,,0,0,11.5,5.4,320,1015,25,9,0,0,0,10,Partially cloudy,partly-cloudy-night,VVNB
Hanoi,2025-11-12T20:00:00,22,22,20,88.43,0,0,,0,0,10.1,3.6,340,1016,100,9,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T21:00:00,22,22,20,88.43,0,0,,0,0,11.5,5.4,10,1017,100,9,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T22:00:00,22,22,18,78.06,0,0,,0,0,13.7,5.4,360,1017,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-12T23:00:00,23,23,17,68.96,0,0,,0,0,13.7,13,10,1017,100,10,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-11-13T00:00:00,22,22,17,73.28,0,0,,0,0,16.6,14.8,10,1017,100,10,0,0,0,10,Overcast,cloudy,VVNB
