iter	RMSE
134	1.416655841
135	1.414808146
136	1.412380362
137	1.409485079
138	1.406518583
139	1.403839
140	1.400734707
141	1.398866512
142	1.396817515
143	1.394317556
144	1.39225798
145	1.390498511
146	1.388463206
147	1.385885293
148	1.383982379
149	1.38108798
150	1.378808654
151	1.376528997
152	1.374661117
153	1.372520102
154	1.370971894
155	1.36938631
156	1.367535534
157	1.366011596
158	1.363928119
159	1.362631476
160	1.360709045
161	1.359041379
162	1.356865302
163	1.354925886
164	1.35259971
165	1.350981496
166	1.348848603
167	1.346876322
168	1.345184652
169	1.343094618
170	1.341643848
171	1.340276298
172	1.33869963
173	1.337146379
174	1.335162504
175	1.333617123
176	1.33254963
177	1.331208447
178	1.329857799
179	1.328069505
180	1.326437196
181	1.325592513
182	1.324728984
183	1.32325329
184	1.322325546
185	1.320764573
186	1.319062738
187	1.317115996
188	1.315650683
189	1.314094782
190	1.312631679
191	1.311447307
192	1.309744355
193	1.308659692
194	1.3072563
195	1.305738521
196	1.30471519
197	1.303827886
198	1.302476052
199	1.301018964
200	1.299683579
201	1.297805813
202	1.296579596
203	1.295488746
204	1.293988624
205	1.292736627
206	1.290638184
207	1.289026319
208	1.287406565
209	1.286077065
210	1.284646704
211	1.283383262
212	1.281995417
213	1.280375207
214	1.278830238
215	1.277736754
216	1.276127854
217	1.275180152
218	1.273432806
219	1.272139341
220	1.271097192
221	1.269654225
222	1.267931619
223	1.266685354
224	1.265481089
225	1.264372412
226	1.26302327
227	1.261046024
228	1.260133506
229	1.258658636
230	1.257037423
231	1.25595401
232	1.255168355
233	1.254153507
234	1.253485515
235	1.252394816
236	1.250577017
237	1.249495965
238	1.248585301
239	1.247549815
240	1.246155087
241	1.245658846
242	1.244363603
243	1.242720261
244	1.24172408
245	1.240708965
246	1.239084177
247	1.237810019
248	1.236614402
249	1.235740099
250	1.234439342
251	1.233366142
252	1.232259624
253	1.230887844
254	1.230214119
255	1.228721285
256	1.227896278
257	1.227070759
258	1.225207634
259	1.224278585
260	1.222750963
261	1.220978551
262	1.220189961
263	1.218675133
264	1.218165285
265	1.216957542
266	1.215189176
267	1.214166272
268	1.212252038
269	1.210685882
270	1.209587114
271	1.208973798
272	1.207919398
273	1.206972031
274	1.206004711
275	1.204618758
276	1.203597381
277	1.202894576
278	1.201423898
279	1.200183222
280	1.198771849
281	1.197903646
282	1.197170537
283	1.195624002
284	1.193791269
285	1.192334911
286	1.190922152
287	1.190093816
288	1.188684335
289	1.187793807
290	1.187015951
291	1.186344238
292	1.185447989
293	1.184523806
294	1.183285775
295	1.181631526
296	1.180509851
297	1.179592031
298	1.17846077
299	1.177529797
300	1.176468269
301	1.175085332
302	1.173568598
303	1.172132546
304	1.171015869
305	1.169701859
306	1.168786814
307	1.167595095
308	1.165907424
309	1.164582729
310	1.163417621
311	1.162399493
312	1.161175414
313	1.160233712
314	1.158972834
315	1.157547066
316	1.156945386
317	1.156208181
318	1.155207153
319	1.154112588
320	1.153011741
321	1.151870496
322	1.150566662
323	1.150130089
324	1.148706795
325	1.147887378
326	1.146939754
327	1.146099833
328	1.144499918
329	1.143483824
330	1.142007514
331	1.140788347
332	1.140195814
333	1.1396833
334	1.138761716
335	1.137775081
336	1.13718693
337	1.136408792
338	1.135624432
339	1.134624281
340	1.134006866
341	1.133087795
342	1.131572258
343	1.130168597
344	1.129160056
345	1.128123475
346	1.12741775
347	1.125968619
348	1.124942548
349	1.124325714
350	1.12322283
351	1.122364414
352	1.121847376
353	1.120806465
354	1.119381924
355	1.118127949
356	1.117591172
357	1.116719051
358	1.115179874
359	1.113840487
360	1.1127971
361	1.111352892
362	1.110452305
363	1.108814702
364	1.107182679
365	1.10627541
366	1.105488459
367	1.104132634
368	1.102967834
369	1.102034191
370	1.100911469
371	1.099993074
372	1.099059718
373	1.098640804
374	1.097493231
375	1.096994358
376	1.095266098
377	1.094281927
378	1.093833796
379	1.09265916
380	1.091479694
381	1.090061112
382	1.088894027
383	1.087105352
384	1.086263439
385	1.08481978
386	1.083670481
387	1.082900963
388	1.08168038
389	1.080492929
390	1.079240423
391	1.078066765
392	1.077166954
393	1.075832176
394	1.075053631
395	1.07444424
396	1.073989245
397	1.072773018
398	1.07260524
399	1.071414999
400	1.071020441
401	1.070034537
402	1.069076505
403	1.067805757
404	1.066610311
405	1.065391917
406	1.063769027
407	1.062435906
408	1.0615624
409	1.060519697
410	1.059614629
411	1.058293319
412	1.057489682
413	1.056521972
414	1.055495134
415	1.0542977
416	1.05294506
417	1.052028117
418	1.050766199
419	1.050237337
420	1.048978265
421	1.048107535
422	1.046803155
423	1.045807026
424	1.044471227
425	1.043804146
426	1.042630463
427	1.041009154
428	1.039859213
429	1.038685107
430	1.038470398
431	1.037766325
432	1.036728387
433	1.035570052
434	1.034434468
435	1.033621695
436	1.032318915
437	1.030601652
438	1.029319215
439	1.028588861
440	1.026948056
441	1.025878183
442	1.025103109
443	1.023761873
444	1.023230125
445	1.021918702
446	1.021040111
447	1.019474009
448	1.017999979
449	1.017221919
450	1.016170408
451	1.015235406
452	1.014557832
453	1.013437243
454	1.012609964
455	1.011378108
456	1.010804867
457	1.009589352
458	1.008329594
459	1.00727286
460	1.006628132
461	1.005727697
462	1.005029248
463	1.003681076
464	1.002454164
465	1.001267925
466	0.9999409205
467	0.9984329576
468	0.9972177054
469	0.9960723407
470	0.9951205252
471	0.993680488
472	0.9924957439
473	0.9911467831
474	0.9898556896
475	0.9890412574
476	0.9879459872
477	0.9867504133
478	0.9856598058
479	0.984407042
480	0.9832314669
481	0.9828276458
482	0.9818599517
483	0.980999798
484	0.9795852195
485	0.9785974216
486	0.9773648688
487	0.9760245115
488	0.9745358803
489	0.9734163955
490	0.9725662037
491	0.9713636095
492	0.9699233845
493	0.9686805289
494	0.9676583055
495	0.9669689048
496	0.9664494616
497	0.966137629
498	0.9654090816
499	0.9641591276
500	0.9635934036
501	0.9622530699
502	0.9618795709
503	0.9612386894
504	0.9596680019
505	0.9583655128
506	0.9578194097
507	0.9568719212
508	0.9560481594
509	0.9551875135
510	0.9544899398
511	0.9535630106
512	0.9530149915
513	0.951898743
514	0.951325341
515	0.9505246375
516	0.9494156655
517	0.9483904486
518	0.9476107175
519	0.9469200525
520	0.9456905979
521	0.9452111577
522	0.9440190676
523	0.9431534672
524	0.9424183914
525	0.9416708266
526	0.9406316662
527	0.9393739539
528	0.9379490964
529	0.9373357883
530	0.9363332855
531	0.9355028821
532	0.9345656988
533	0.9340545896
534	0.9329122168
535	0.9324307424
536	0.9315755448
537	0.9306904139
538	0.929540353
539	0.9285806526
540	0.927292049
541	0.9268639572
542	0.926080834
543	0.924847592
544	0.9233275641
545	0.9226363354
546	0.9224160585
547	0.9218021462
548	0.9206401611
549	0.9198246388
550	0.918485084
551	0.9179526175
552	0.9172460316
553	0.9161280351
554	0.9149283288
555	0.9141074265
556	0.912671211
557	0.9117610309
558	0.910632218
559	0.9093563874
560	0.9084514037
561	0.9079692923
562	0.9070970079
563	0.9059414486
564	0.9048461197
565	0.9039575726
566	0.9026698507
567	0.9021093716
568	0.9009675784
569	0.8999611574
570	0.8992934619
571	0.8981822625
572	0.8970997913
573	0.8962572526
574	0.895522258
575	0.8944384772
576	0.8930338254
577	0.8917127991
578	0.8908130794
579	0.8897095263
580	0.8887707128
581	0.8884629483
582	0.88755935
583	0.8864337996
584	0.8855037422
585	0.8845640347
586	0.8838592518
587	0.882982142
588	0.8823648739
589	0.8812975628
590	0.8798205111
591	0.87893102
592	0.8782136672
593	0.877350694
594	0.8762326495
595	0.8756109313
596	0.8744704079
597	0.8735885033
598	0.8727592259
599	0.8716761172
